Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los1;﻿Day;Date;Channel;"Rosewood Sand Hill";"Garden Court Hotel";"Nobu Hotel Epiphany Palo Alto";"Stanford Park Hotel";"Westin Palo Alto";"Pullman San Francisco Bay";los3
Sun;3/24/2019;GDS;"Sold out";549;"Sold out";409;458;143;1;Sun;3/24/2019;Brand.com;"Sold out";"No data";"Sold out";537;"No data";350;3
Sun;3/24/2019;GDS;"Sold out";549;"Sold out";409;458;143;1;Sun;3/24/2019;Booking.com;"Sold out";"Sold out";"Sold out";562;600;359;3
Mon;3/25/2019;Brand.com;"Sold out";749;1,149;584;"No data";284;1;Mon;3/25/2019;Brand.com;"Sold out";"No data";899;624;"No data";433;3
Mon;3/25/2019;Brand.com;"Sold out";749;1,149;584;"No data";284;1;Mon;3/25/2019;Booking.com;"Sold out";"Sold out";849;649;775;446;3
Mon;3/25/2019;Booking.com;"Sold out";"Sold out";799;609;725;284;1;Mon;3/25/2019;Brand.com;"Sold out";"No data";899;624;"No data";433;3
Mon;3/25/2019;Booking.com;"Sold out";"Sold out";799;609;725;284;1;Mon;3/25/2019;Booking.com;"Sold out";"Sold out";849;649;775;446;3
Mon;3/25/2019;Expedia;"Sold out";620;799;609;616;284;1;Mon;3/25/2019;Brand.com;"Sold out";"No data";899;624;"No data";433;3
Mon;3/25/2019;Expedia;"Sold out";620;799;609;616;284;1;Mon;3/25/2019;Booking.com;"Sold out";"Sold out";849;649;775;446;3
Mon;3/25/2019;GDS;"Sold out";749;1,149;609;616;284;1;Mon;3/25/2019;Brand.com;"Sold out";"No data";899;624;"No data";433;3
Mon;3/25/2019;GDS;"Sold out";749;1,149;609;616;284;1;Mon;3/25/2019;Booking.com;"Sold out";"Sold out";849;649;775;446;3
Tue;3/26/2019;Brand.com;805;"Sold out";LOS3;684;"No data";559;1;Tue;3/26/2019;Brand.com;805;"No data";816;584;"No data";401;3
